PARTICLE_SIMULATION_DATA_3D
NumBalls: 11
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
NumSteps: 2001
Step 0 0.1
7 56.8695 -124.026 50.6724
8 -87.6331 148.372 -26.6067
9 -73.1527 -57.5236 135.487
10 8.79586 61.8697 73.6814
Step 51 0.1
0 -0.000117452 -0.010779 0.0101526
1 35.6227 117.254 -83.658
2 -30.1598 -82.2128 -67.5723
3 124.353 -144.657 -150.244
4 -126.862 -146.322 95.0878
5 31.5282 -134.88 -102.302
6 -83.7721 -95.7501 151.092
7 56.8464 -123.881 50.6157
8 -87.4679 148.434 -26.7424
9 -72.9805 -57.4272 135.397
10 8.67197 61.7938 73.4921
Step 52 0.1
0 -0.000116612 -0.0111881 0.0105653
1 35.7148 117.119 -83.542
2 -30.022 -82.1954 -67.6163
3 124.417 -144.628 -150.291
4 -126.951 -146.27 95.0516
5 31.593 -134.952 -102.171
6 -83.6931 -95.6418 151.193
7 56.8227 -123.736 50.5585
8 -87.3021 148.495 -26.878
9 -72.8078 -57.3305 135.306
10 8.54778 61.7158 73.3003
Step 53 0.1
0 -0.000115454 -0.0116042 0.0109869
1 35.8065 116.983 -83.4253
2 -29.8835 -82.1761 -67.6587
3 124.482 -144.6 -150.337
4 -127.039 -146.217 95.0151
5 31.6577 -135.023 -102.038
6 -83.6138 -95.5331 151.294
7 56.7985 -123.589 50.5007
8 -87.1358 148.555 -27.0135
9 -72.6347 -57.2335 135.214
10 8.4233 61.6357 73.106
Step 54 0.1
0 -0.000113969 -0.0120273 0.0114174
1 35.8979 116.846 -83.3077
2 -29.7443 -82.1551 -67.6997
3 124.546 -144.571 -150.383
4 -127.126 -146.164 94.9784
5 31.7221 -135.094 -101.905
6 -83.5341 -95.424 151.393
7 56.7736 -123.441 50.4425
8 -86.969 148.615 -27.1488
9 -72.4611 -57.136 135.121
10 8.29853 61.5535 72.9093
Step 55 0.1
0 -0.000112146 -0.0124573 0.011857
1 35.989 116.708 -83.1894
2 -29.6044 -82.1322 -67.7391
3 124.61 -144.541 -150.429
4 -127.214 -146.111 94.9413
5 31.7864 -135.163 -101.771
6 -83.4541 -95.3145 151.493
7 56.7483 -123.292 50.3837
8 -86.8017 148.673 -27.2839
9 -72.2869 -57.0383 135.027
10 8.17348 61.4692 72.71
Step 56 0.1
0 -0.000109975 -0.0128943 0.0123056
1 36.0798 116.569 -83.0702
2 -29.4639 -82.1075 -67.777
3 124.674 -144.512 -150.475
4 -127.3 -146.057 94.904
5 31.8505 -135.232 -101.637
6 -83.3738 -95.2046 151.591
7 56.7223 -123.142 50.3245
8 -86.6339 148.73 -27.4189
9 -72.1123 -56.9402 134.932
10 8.04814 61.3828 72.5083
Step 57 0.1
0 -0.000107445 -0.013338 0.0127633
1 36.1702 116.429 -82.9503
2 -29.3227 -82.081 -67.8134
3 124.737 -144.482 -150.52
4 -127.387 -146.003 94.8664
5 31.9144 -135.3 -101.502
6 -83.2932 -95.0943 151.689
7 56.6958 -122.991 50.2647
8 -86.4656 148.787 -27.5537
9 -71.9372 -56.8417 134.837
10 7.92252 61.2942 72.304
Step 58 0.1
0 -0.000104548 -0.0137886 0.0132303
1 36.2602 116.288 -82.8296
2 -29.1808 -82.0527 -67.8483
3 124.8 -144.451 -150.565
4 -127.473 -145.948 94.8285
5 31.9781 -135.367 -101.366
6 -83.2122 -94.9837 151.787
7 56.6687 -122.838 50.2045
8 -86.2968 148.843 -27.6884
9 -71.7616 -56.7428 134.74
10 7.79662 61.2035 72.0973
Step 59 0.1
0 -0.000101273 -0.0142459 0.0137065
1 36.3499 116.145 -82.7082
2 -29.0383 -82.0225 -67.8816
3 124.863 -144.421 -150.609
4 -127.558 -145.893 94.7904
5 32.0416 -135.433 -101.23
6 -83.1308 -94.8726 151.883
7 56.641 -122.684 50.1437
8 -86.1275 148.898 -27.8229
9 -71.5855 -56.6437 134.643
10 7.67045 61.1106 71.8879
Step 60 0.1
0 -9.761e-05 -0.0147099 0.0141919
1 36.4393 116.002 -82.5859
2 -28.8951 -81.9905 -67.9135
3 124.926 -144.39 -150.653
4 -127.644 -145.837 94.7519
5 32.105 -135.498 -101.093
6 -83.0492 -94.7612 151.979
7 56.6127 -122.529 50.0824
8 -85.9578 148.952 -27.9572
9 -71.4089 -56.5441 134.544
10 7.544 61.0156 71.6761
Step 61 0.1
0 -9.35496e-05 -0.0151807 0.0146867
1 36.5283 115.857 -82.4628
2 -28.7512 -81.9567 -67.9438
3 124.988 -144.359 -150.697
4 -127.728 -145.781 94.7132
5 32.1681 -135.563 -100.955
6 -82.9672 -94.6494 152.075
7 56.5839 -122.372 50.0206
8 -85.7875 149.005 -28.0914
9 -71.2318 -56.4442 134.445
10 7.41727 60.9184 71.4616
Step 62 0.1
0 -8.90821e-05 -0.015658 0.0151909
1 36.617 115.711 -82.339
2 -28.6067 -81.9211 -67.9726
3 125.05 -144.327 -150.74
4 -127.813 -145.725 94.6742
5 32.2311 -135.627 -100.817
6 -82.8849 -94.5371 152.17
7 56.5545 -122.214 49.9583
8 -85.6167 149.058 -28.2254
9 -71.0542 -56.3439 134.344
10 7.29028 60.819 71.2446
Step 63 0.1
0 -8.41981e-05 -0.0161419 0.0157046
1 36.7053 115.564 -82.2144
2 -28.4615 -81.8837 -67.9998
3 125.112 -144.296 -150.784
4 -127.897 -145.668 94.6349
5 32.2939 -135.69 -100.679
6 -82.8023 -94.4245 152.264
7 56.5245 -122.055 49.8955
8 -85.4455 149.109 -28.3593
9 -70.8761 -56.2433 134.243
10 7.16303 60.7173 71.0251
Step 64 0.1
0 -7.88881e-05 -0.0166324 0.0162278
1 36.7933 115.416 -82.0889
